# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.005 4.708016345 0.007637277865 924.4669664 924.4669664 930.7687716 943.1307247 0.001656520375 12.35138708 104.3302225 1.596484347 nan
0.01 9.429152528 0.02320650243 910.3771345 910.3771345 923.1259937 945.235903 0.004747144053 22.10400349 131.31206 1.653881289 nan
0.015 14.15976114 0.04461818748 896.665305 896.665305 916.0045804 946.9586216 0.008687660499 30.94982305 150.1161419 1.663929267 nan
0.02 18.89829079 0.06991983958 883.283998 883.283998 909.3565839 948.4105315 0.01308798755 39.0506044 164.9793598 1.618678804 -1260.019504
0.025 23.64344912 0.09684972353 870.1949398 870.1949398 903.1421197 949.6119536 0.01764063288 46.46702418 177.4449334 1.526968431 -1062.823686
0.03 28.3940132 0.1232477424 857.3664096 857.3664096 897.3281579 950.5753647 0.02211713297 53.24475482 188.2765222 1.399434868 -973.4467218
0.035 33.14883764 0.1473603886 844.771692 844.771692 891.8878833 951.3199437 0.02636123451 59.42986357 197.9165464 1.245543816 -924.7024143
0.04 37.90689132 0.1679836394 832.3880138 832.3880138 886.799869 951.8718739 0.03027624336 65.06999848 206.6471781 1.073782463 -897.4006483
0.045 42.66728608 0.184489608 820.195767 820.195767 882.0471093 952.2616821 0.0338107142 70.21271334 214.6602911 0.8927666591 -883.1773444
0.05 47.42929169 0.1967889202 808.1779234 808.1779234 877.6160473 952.5216122 0.03694549734 74.90382185 222.0924323 0.7126710973 -877.606066
0.055 52.19233925 0.2052652404 796.319587 796.319587 873.4956871 952.6837179 0.03968335694 79.18638211 229.0441402 0.5467922176 -878.0599422
0.06 56.95601705 0.210702547 784.6076459 784.6076459 869.676825 952.7786599 0.04204124277 83.10026377 235.5914315 0.4130116899 -882.8538148
0.065 61.72006168 0.2142148919 773.0304987 773.0304987 866.1514056 952.8350243 0.04404480512 86.68211249 241.7930249 0.3346117256 -890.8413959
0.07 66.48434676 0.2171822058 761.5778365 761.5778365 862.9119927 952.8789852 0.0457246238 89.96554129 247.6950853 0.3393790054 -901.2051462
0.075 71.24887039 0.2211927099 750.2404674 750.2404674 859.9513443 952.9341747 0.04711367019 92.98142632 253.334453 0.4555381576 -913.3383146
