# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
1.65035284e-09 1.535938515e-06 5.655061901e-11 0 0 0 0 0 0 0 0 0
2.092764602e-09 1.947698941e-06 8.128450835e-11 0 0 0 0 0 0 0 0 0
2.653760008e-09 2.469835145e-06 1.164451275e-10 0 0 0 0 0 0 0 0 0
3.365118743e-09 3.131930472e-06 1.662597403e-10 0 0 0 0 0 0 0 0 0
4.26713527e-09 3.971495884e-06 2.366066183e-10 0 0 0 0 0 0 0 0 0
5.410899483e-09 5.036093931e-06 3.356405724e-10 0 0 0 0 0 0 0 0 0
6.861187963e-09 6.386031416e-06 4.746509643e-10 0 0 0 0 0 0 0 0 0
8.7001292e-09 8.097773288e-06 6.692378042e-10 0 0 0 0 0 0 0 0 0
1.103184985e-08 1.02682706e-05 9.409228636e-10 0 0 0 0 0 0 0 0 0
1.398836442e-08 1.302044716e-05 1.319355431e-09 0 0 0 0 0 0 0 0 0
1.773704082e-08 1.651015503e-05 1.845330491e-09 0 0 0 0 0 0 0 0 0
2.249006318e-08 2.093499167e-05 2.57491624e-09 0 0 0 0 0 0 0 0 0
2.851642568e-08 2.654547673e-05 3.58509552e-09 0 0 0 0 0 0 0 0 0
3.615713371e-08 3.365921944e-05 4.981472013e-09 0 0 0 0 0 0 0 0 0
4.584446896e-08 4.267887601e-05 6.908790748e-09 0 0 0 0 0 0 0 0 0
5.812640383e-08 5.411491003e-05 9.565291996e-09 0 0 0 0 0 0 0 0 0
7.369753947e-08 6.861443911e-05 1.322228306e-08 0 0 0 0 0 0 0 0 0
9.343830805e-08 8.69977931e-05 1.825080732e-08 0 0 0 0 0 0 0 0 0
1.184646433e-07 0.000110304843 2.515795921e-08 0 0 0 0 0 0 0 0 0
1.501909098e-07 0.0001398537079 3.463629862e-08 0 0 0 0 0 0 0 0 0
1.904096232e-07 0.0001773151414 4.763103852e-08 0 0 0 0 0 0 0 0 0
2.413924321e-07 0.0002248067789 6.543132552e-08 0 0 0 0 0 0 0 0 0
3.060180185e-07 0.0002850125355 8.979414717e-08 0 0 0 0 0 0 0 0 0
3.879340736e-07 0.0003613338537 1.231123762e-07 0 0 0 0 0 0 0 0 0
4.917624015e-07 0.000458081274 1.686424554e-07 0 0 0 0 0 0 0 0 0
6.233585958e-07 0.0005807170498 2.308125749e-07 0 0 0 0 0 0 0 0 0
7.901407581e-07 0.000736162362 3.156393457e-07 0 0 0 0 0 0 0 0 0
1.001505542e-06 0.0009331862774 4.312905157e-07 0 0 0 0 0 0 0 0 0
1.269354612e-06 0.00118289811 5.888439788e-07 0 0 0 0 0 0 0 0 0
1.608760683e-06 0.001499370554 8.033102096e-07 0 0 0 0 0 0 0 0 0
2.038809922e-06 0.001900428141 1.095007626e-06 0 0 0 0 0 0 0 0 0
2.583667132e-06 0.002408644638 1.491409956e-06 0 0 0 0 0 0 0 0 0
3.273922183e-06 0.003052604367 2.02962365e-06 0 0 0 0 0 0 0 0 0
4.148291377e-06 0.003868496793 2.759704635e-06 0 0 0 0 0 0 0 0 0
5.255766406e-06 0.004902131645 3.749090738e-06 0 0 0 0 0 0 0 0 0
6.658327423e-06 0.00621148439 5.088513732e-06 0 0 0 0 0 0 0 0 0
8.434366528e-06 0.007869910069 6.899868693e-06 0 0 0 0 0 0 0 0 0
1.068300509e-05 0.00997019868 9.346665696e-06 0 0 0 0 0 0 0 0 0
1.352953458e-05 0.01262968915 1.26478785e-05 0 0 0 0 0 0 0 0 0
1.713226796e-05 0.01599671339 1.709624774e-05 0 0 0 0 0 0 0 0 0
2.169115949e-05 0.02025870938 2.308240511e-05 0 0 0 0 0 0 0 0 0
2.745863834e-05 0.02565242534 3.112657492e-05 0 0 0 0 0 0 0 0 0
3.475320821e-05 0.03247673912 4.192009753e-05 0 0 0 0 0 0 0 0 0
4.397649546e-05 0.04110874115 5.63796219e-05 0 0 0 0 0 0 0 0 0
5.563458572e-05 0.05202388002 7.571755021e-05 0 0 0 0 0 0 0 0 0
7.036467696e-05 0.06582114983 0.0001015331962 0 0 0 0 0 0 0 0 0
8.896829864e-05 0.08325451116 0.0001359301428 0 0 0 0 0 0 0 0 0
0.0001124526033 0.1052719847 0.0001816664307 0 0 0 0 0 0 0 0 0
0.0001420815252 0.1330641346 0.0002423454194 0 0 0 0 0 0 0 0 0
0.0001794389103 0.1681239586 0.0003226562936 0 0 0 0 0 0 0 0 0
0.0002232881537 0.2092967876 0.0003930884824 0 0 0 0 0 0 0 0 0
0.000273869077 0.2568010855 0.0004275682153 0 0 0 0 0 0 0 0 0
0.0003359079741 0.3150745722 0.0004662701439 0 0 0 0 0 0 0 0 0
0.0004120003919 0.3865582769 0.0005138790777 0 0 0 0 0 0 0 0 0
0.0005053298403 0.4742471405 0.0005745355131 0 0 0 0 0 0 0 0 0
0.0006198009822 0.5818155556 0.0006532054365 0 0 0 0 0 0 0 0 0
0.0007602029939 0.7137715354 0.0007562641881 0 0 0 0 0 0 0 0 0
0.0009324099324 0.8756459299 0.0008920490971 0 0 0 0 0 0 0 0 0
0.001143626491 1.074224641 0.001071518427 0 0 0 0 0 0 0 0 0
0.001402689423 1.317833606 0.001309092393 0 0 0 0 0 0 0 0 0
0.001720437252 1.616688563 0.001623762237 0 0 0 0 0 0 0 0 0
0.002110163726 1.983324325 0.002040599042 0 0 0 0 0 0 0 0 0
0.002588173991 2.433121721 0.002592887707 0 0 0 0 0 0 0 0 0
0.003174466762 2.98495447 0.003325289896 0 0 0 0 0 0 0 0 0
0.00389357101 3.661983495 0.004298770589 0 0 0 0 0 0 0 0 0
0.004775572198 4.492632586 0.005598618227 0 0 0 0 0 0 0 0 0
0.005857370973 5.511787435 0.007347920785 0 0 0 0 0 0 0 0 0
0.007184226998 6.762270286 0.009730558802 0 0 0 0 0 0 0 0 0
0.008811652498 8.296655443 0.01303037554 0 0 0 0 0 0 0 0 0
0.01080773474 10.17950759 0.01769669845 0 0 0 0 0 0 0 0 0
0.01325598466 12.49014609 0.02445012995 0 0 0 0 0 0 0 0 0
0.01625883068 15.32606527 0.03444404318 0 0 0 0 0 0 0 0 0
0.01994190411 18.80717312 0.04949088593 0 0 0 0 0 0 0 0 0
0.02445929524 23.08104767 0.07233909423 0 0 0 0 0 0 0 0 0
0.03 28.32944726 0.1069399522 0 0 0 0 0 0 0 0 0
0.03559614044 33.63749311 0.1487887669 0 0 0 0 0 0 0 0 0
0.04106010028 38.82699523 0.195622922 0 0 0 0 0 0 0 0 0
0.04653025058 44.02897389 0.2476404191 0 0 0 0 0 0 0 0 0
0.05209976498 49.3320044 0.3051268843 0 0 0 0 0 0 0 0 0
0.0578333494 54.79790093 0.3684019088 0 0 0 0 0 0 0 0 0
0.06377407895 60.46808338 0.4377805258 0 0 0 0 0 0 0 0 0
0.0699447902 66.36479223 0.5135315884 0 0 0 0 0 0 0 0 0
0.07634598808 72.48898094 0.5958197367 0 0 0 0 0 0 0 0 0
0.08295137357 78.81591794 0.6846164668 0 0 0 0 0 0 0 0 0
0.08970175975 85.28921579 0.7795564107 0 0 0 0 0 0 0 0 0
0.09645326265 91.77088069 0.8772677391 0 0 0 0 0 0 0 0 0
0.1030259148 98.08732208 0.9696901228 0 0 0 0 0 0 0 0 0
0.109319241 104.1408535 1.057903618 0 0 0 0 0 0 0 0 0
0.12 114.4306656 1.271826774 852.6267743 562.5697446 842.3320211 964.1874366 0.06627677876 121.8543441 294.3020398 2.449480272 -999.454413
0.125 119.2540627 1.39378141 849.5319396 550.5581389 840.2925197 965.1827531 0.06849897956 124.889188 298.0972157 2.587080353 -1014.185023
0.13 124.0826138 1.529939793 846.4312685 538.8269182 838.3753905 966.250412 0.07070058258 127.8740004 301.7818682 2.729265235 -1030.080571
