# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
1.611213862e-09 1.499605813e-06 5.951694891e-11 0 0 0 0 0 0 0 0 0
2.037602643e-09 1.896479312e-06 8.517181222e-11 0 0 0 0 0 0 0 0 0
2.576798073e-09 2.398358874e-06 1.214873459e-10 0 0 0 0 0 0 0 0 0
3.258632346e-09 3.03301713e-06 1.727255555e-10 0 0 0 0 0 0 0 0 0
4.120822345e-09 3.835568382e-06 2.447907844e-10 0 0 0 0 0 0 0 0 0
5.211051883e-09 4.850407932e-06 3.458440515e-10 0 0 0 0 0 0 0 0 0
6.589603202e-09 6.133663205e-06 4.871429353e-10 0 0 0 0 0 0 0 0 0
8.332682362e-09 7.756291426e-06 6.841890643e-10 0 0 0 0 0 0 0 0 0
1.053662116e-08 9.807994144e-06 9.582949459e-10 0 0 0 0 0 0 0 0 0
1.332318609e-08 1.240216362e-05 1.338722173e-09 0 0 0 0 0 0 0 0 0
1.684628545e-08 1.568213244e-05 1.865597758e-09 0 0 0 0 0 0 0 0 0
2.130044169e-08 1.982906902e-05 2.593889557e-09 0 0 0 0 0 0 0 0 0
2.693149247e-08 2.50719511e-05 3.598822331e-09 0 0 0 0 0 0 0 0 0
3.405010467e-08 3.170016281e-05 4.983252199e-09 0 0 0 0 0 0 0 0 0
4.304883838e-08 4.007940297e-05 6.887701482e-09 0 0 0 0 0 0 0 0 0
5.442368957e-08 5.067177188e-05 9.50400498e-09 0 0 0 0 0 0 0 0 0
6.880128184e-08 6.406112975e-05 1.309385479e-08 0 0 0 0 0 0 0 0 0
8.697318138e-08 8.098510353e-05 1.801398392e-08 0 0 0 0 0 0 0 0 0
1.099391906e-07 0.0001023754766 2.475033865e-08 0 0 0 0 0 0 0 0 0
1.389619556e-07 0.0001294091433 3.396440935e-08 0 0 0 0 0 0 0 0 0
1.756358219e-07 0.0001635723742 4.655598825e-08 0 0 0 0 0 0 0 0 0
2.219736291e-07 0.0002067418419 6.374809427e-08 0 0 0 0 0 0 0 0 0
2.805160726e-07 0.0002612867414 8.720176909e-08 0 0 0 0 0 0 0 0 0
3.54469441e-07 0.0003301974426 1.191710649e-07 0 0 0 0 0 0 0 0 0
4.478790065e-07 0.0004172474909 1.627120168e-07 0 0 0 0 0 0 0 0 0
5.658471676e-07 0.0005271974866 2.219639872e-07 0 0 0 0 0 0 0 0 0
7.148077204e-07 0.0006660515077 3.025278186e-07 0 0 0 0 0 0 0 0 0
9.028704366e-07 0.0008413793822 4.119731673e-07 0 0 0 0 0 0 0 0 0
1.140253596e-06 0.001062721377 5.605177212e-07 0 0 0 0 0 0 0 0 0
1.439826374e-06 0.001342095882 7.619343912e-07 0 0 0 0 0 0 0 0 0
