# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.005 4.704624835 0.004329187173 922.6999457 922.6999457 931.8901138 941.7908044 0.0008497836926 9.887494828 104.3583172 1.324541872 nan
0.01 9.416001678 0.011042193 906.8653128 906.8653128 925.3113776 942.7043871 0.002309836561 17.38550142 131.4191641 1.455706713 nan
0.015 14.1314359 0.02051180616 891.4408483 891.4408483 919.1964893 943.4631801 0.004184764954 24.26130998 150.3430923 1.699603927 nan
0.02 18.85064251 0.03384270028 876.3871798 876.3871798 913.4992582 944.2242607 0.00637213779 30.72075289 165.3527375 1.9239293 nan
0.025 23.57373967 0.05178864234 861.6722981 861.6722981 908.1817102 945.0211325 0.008788052889 36.83587811 177.9763582 2.084464125 nan
0.03 28.30091572 0.07473081263 847.2693231 847.2693231 903.2115159 945.8548844 0.01135950212 42.64030681 188.9644121 2.184042889 -1710.004965
0.035 33.03233695 0.1027820387 833.1553384 833.1553384 898.5608511 946.7176855 0.01402335675 48.15412317 198.7490344 2.238767383 -1431.56512
0.04 37.76812625 0.1359040949 819.3106347 819.3106347 894.2056858 947.6007585 0.01672643846 53.39262746 207.6052131 2.2644596 -1299.715593
0.045 42.50836669 0.1740080517 805.7181646 805.7181646 890.1252366 948.4972165 0.01942542024 58.36974319 215.7203842 2.27342078 -1218.356598
0.05 47.25311358 0.2170298126 792.3631264 792.3631264 886.3014972 949.4028679 0.02208631398 63.0993016 223.2288455 2.274504512 -1163.197019
0.055 52.00240799 0.2649813259 779.2326357 779.2326357 882.7188224 950.3161695 0.02468360727 67.59541563 230.2305096 2.273865802 -1124.103076
0.06 56.75628913 0.3179812569 766.3154609 766.3154609 879.3635576 951.2378397 0.02719918997 71.87246563 236.8019067 2.275654524 -1095.80571
0.065 61.51480442 0.3762698379 753.6018064 753.6018064 876.2237165 952.1703733 0.02962120498 75.94493761 243.0030298 2.282530399 -1075.188332
0.07 66.27801724 0.4402123951 741.0831335 741.0831335 873.2887046 953.1175663 0.0319429238 79.82722619 248.8817995 2.296029324 -1060.244371
0.075 71.0460123 0.5102953455 728.7520115 728.7520115 870.5490874 954.0841019 0.03416171024 83.53345151 254.4770945 2.316830708 -1049.602428
0.08 75.8188992 0.5871176163 716.6019915 716.6019915 867.9964021 955.0752102 0.03627810522 87.07730874 259.8208751 2.344963996 -1042.283012
0.085 80.59681453 0.6713796629 704.6275008 704.6275008 865.6230056 956.0964023 0.03829504358 90.47195358 264.9397143 2.379977921 -1037.562651
0.09 85.37992269 0.7638716038 692.8237513 692.8237513 863.4219561 957.1532699 0.04021720002 93.72992089 269.8559269 2.421084732 -1034.892795
0.095 90.16841591 0.8654614803 681.1866617 681.1866617 861.3869223 958.251341 0.04205045346 96.86307082 274.5884196 2.46728434 -1033.84883
0.1 94.96251372 0.9770842633 669.7127889 669.7127889 859.5121158 959.3959799 0.04380145565 99.88255694 279.1533408 2.517469434 -1034.096645
0.105 99.7624619 1.099731951 658.3992684 658.3992684 857.7922413 960.5923224 0.04547728878 102.7988111 283.5645864 2.570511121 -1035.369955
0.11 104.5685313 1.234444904 647.2437605 647.2437605 856.222461 961.8452378 0.04708519777 105.6215407 287.8341966 2.625324752 -1037.454445
0.115 109.3810162 1.38230442 636.2444031 636.2444031 854.7983693 963.1593099 0.04863238409 108.3597357 291.9726725 2.680916483 -1040.176405
0.12 114.2002335 1.544426471 625.399767 625.399767 853.5159749 964.5388327 0.05012584986 111.0216818 295.9892298 2.736412203 -1043.3944
0.125 119.0265203 1.721956447 614.708816 614.708816 852.3716861 965.9878142 0.05157228255 113.614979 299.8920046 2.791071371 -1046.993027
0.13 123.8602336 1.916064735 604.1708686 604.1708686 851.3622994 967.5099871 0.05297797228 116.1465636 303.6882214 2.844288872 -1050.878156
0.135 128.701748 2.127942921 593.7855623 593.7855623 850.4849875 969.1088215 0.05434875523 118.6227334 307.3843314 2.895588099 -1054.973218
0.14 133.551455 2.358800428 583.5528184 583.5528184 849.7372859 970.7875385 0.05568997771 121.049174 310.9861266 2.94460829 -1059.216275
0.145 138.4097615 2.609861384 573.4728091 573.4728091 849.117078 972.5491233 0.05700647647 123.4309876 314.498835 2.991088733 -1063.557653
0.15 143.2770889 2.882361537 563.5459237 563.5459237 848.622576 974.3963364 0.05830257193 125.7727223 317.9271997 3.034851883 -1067.958017
0.155 148.1538718 3.177545084 553.7727369 553.7727369 848.2523001 976.331722 0.05958207136 128.0784025 321.2755456 3.075786913 -1072.386759
0.16 153.040557 3.496661248 544.1539762 544.1539762 848.0050525 978.357614 0.0608482797 130.3515599 324.5478357 3.113834676 -1076.820662
0.165 157.9376024 3.840960542 534.6904902 534.6904902 847.8798895 980.4761388 0.06210401647 132.5952647 327.7477184 3.148974675 -1081.242745
0.17 162.845476 4.211690627 525.3832167 525.3832167 847.8760897 982.6892153 0.06335163705 134.8121572 330.8785675 3.181214258 -1085.641287
0.175 167.764655 4.610091741 516.2331518 516.2331518 847.9931201 984.9985526 0.0645930574 137.0044795 333.9435166 3.210580054 -1090.008978
0.18 172.6956244 5.037391698 507.241319 507.241319 848.2306004 987.4056452 0.06582978126 139.1741068 336.9454876 3.237111494 -1094.342179
0.185 177.6388765 5.494800479 498.4087386 498.4087386 848.5882651 989.9117673 0.06706292905 141.3225784 339.8872159 3.260856159 -1098.640274
0.19 182.5949089 5.983504474 489.7363991 489.7363991 849.0659266 992.5179652 0.06829326807 143.4511285 342.7712712 3.281866673 -1102.905112
0.195 187.5642243 6.504660462 481.2252284 481.2252284 849.6634367 995.22505 0.06952124333 145.5607164 345.6000751 3.300198824 -1107.140501
0.2 192.5473285 7.0593894 472.8760675 472.8760675 850.3806502 998.0335896 0.07074700881 147.6520552 348.3759169 3.315910631 -1111.35178
0.205 197.5447298 7.648770173 464.689645 464.689645 851.2173895 1000.943902 0.07197045869 149.7256409 351.100966 3.329062088 -1115.545432
0.21 202.5569373 8.273833392 456.6665544 456.6665544 852.1734113 1003.956051 0.07319125838 151.7817794 353.7772831 3.339715353 -1119.728752
0.215 207.5844597 8.935555382 448.8072331 448.8072331 853.2483765 1007.069838 0.07440887493 153.8206125 356.4068296 3.347935205 -1123.909553
0.22 212.6278043 9.634852486 441.1119437 441.1119437 854.4418228 1010.284804 0.07562260681 155.8421431 358.9914753 3.353789599 -1128.095915
0.225 217.6874752 10.37257579 433.5807589 433.5807589 855.7531409 1013.600227 0.0768316126 157.8462587 361.5330051 3.357350212 -1132.295968
0.23 222.7639724 11.14950641 426.2135483 426.2135483 857.1815554 1017.015125 0.07803493855 159.832753 364.0331247 3.358692899 -1136.517705
0.235 227.8577902 11.96635137 419.0099685 419.0099685 858.7261084 1020.528262 0.07923154475 161.8013468 366.4934651 3.357897997 -1140.76883
0.24 232.9694163 12.82374023 411.9694565 411.9694565 860.3856485 1024.138152 0.08042032972 163.7517063 368.9155868 3.355050449 -1145.056626
0.245 238.0993301 13.72222246 405.0912255 405.0912255 862.1588233 1027.843072 0.0816001533 165.6834605 371.3009832 3.350239746 -1149.387851
0.25 243.2480021 14.66226561 398.3742643 398.3742643 864.0440758 1031.641071 0.08276985769 167.5962162 373.6510835 3.343559673 -1153.768662
0.255 248.4158924 15.64425432 391.8173391 391.8173391 866.0396449 1035.529987 0.08392828656 169.4895719 375.967255 3.335107896 -1158.204549
0.26 253.6034496 16.66849013 385.4189977 385.4189977 868.1435693 1039.507461 0.08507430209 171.3631294 378.2508056 3.324985408 -1162.700299
0.265 258.8111104 17.73519208 379.177577 379.177577 870.3536946 1043.570953 0.08620680002 173.2165043 380.5029857 3.313295851 -1167.259967
0.27 264.039298 18.84449805 373.0912116 373.0912116 872.6676832 1047.717763 0.08732472254 175.0493342 382.7249901 3.300144775 -1171.886871
0.275 269.2884221 19.99646681 367.1578452 367.1578452 875.0830264 1051.945051 0.08842706925 176.8612861 384.9179596 3.285638832 -1176.583591
0.28 274.5588777 21.19108071 361.3752428 361.3752428 877.5970588 1056.249852 0.089512906 178.6520619 387.0829826 3.269884968 -1181.351992
0.285 279.8510447 22.42824885 355.7410048 355.7410048 880.2069739 1060.6291 0.09058137195 180.4214027 389.2210969 3.25298961 -1186.193242
0.29 285.1652876 23.70781083 350.252582 350.252582 882.909841 1065.07965 0.09163168475 182.1690919 391.3332911 3.2350579 -1191.107852
0.295 290.5019547 25.0295408 344.9072906 344.9072906 885.7026229 1069.59829 0.09266314409 183.894957 393.4205064 3.216192971 -1196.095712
0.3 295.8613785 26.39315182 339.7023287 339.7023287 888.5821937 1074.181768 0.09367513377 185.5988706 395.4836379 3.196495299 -1201.156139
0.305 301.243875 27.79830046 334.6347921 334.6347921 891.5453568 1078.826805 0.09466712226 187.2807509 397.5235366 3.176062122 -1206.287927
0.31 306.6497437 29.24459155 329.7016901 329.7016901 894.5888623 1083.530114 0.09563866224 188.9405604 399.5410109 3.154986957 -1211.489394
0.315 312.0792678 30.73158294 324.8999614 324.8999614 897.7094244 1088.288415 0.09658938898 190.5783055 401.5368281 3.133359187 -1216.758441
0.32 317.5327141 32.25879032 320.2264893 320.2264893 900.9037377 1093.098451 0.09751901785 192.1940341 403.5117163 3.11126375 -1222.0926
0.325 323.0103331 33.8256919 315.6781158 315.6781158 904.1684925 1097.957 0.09842734112 193.7878339 405.4663662 3.088780899 -1227.489087
0.33 328.5123596 35.43173311 311.2516559 311.2516559 907.5003889 1102.860887 0.09931422418 195.3598299 407.4014324 3.065986046 -1232.944854
0.335 334.0390124 37.07633099 306.9439101 306.9439101 910.8961506 1107.806995 0.1001796013 196.9101814 409.3175357 3.042949678 -1238.456637
0.34 339.5904949 38.75887847 302.7516768 302.7516768 914.3525366 1112.792275 0.1010234712 198.43908 411.215264 3.019737336 -1244.021001
0.345 345.1669954 40.47874849 298.6717628 298.6717628 917.8663516 1117.813751 0.1018458919 199.9467459 413.0951748 2.996409647 -1249.634383
0.35 350.7686879 42.23529771 294.7009937 294.7009937 921.4344563 1122.86853 0.1026469764 201.4334258 414.9577963 2.973022414 -1255.293131
0.355 356.3957316 44.02787017 290.836223 290.836223 925.0537751 1127.953808 0.1034268874 202.8993892 416.8036289 2.949626738 -1260.993541
0.36 362.0482722 45.85580054 287.0743398 287.0743398 928.7213035 1133.066869 0.1041858325 204.3449264 418.6331473 2.92626918 -1266.731889
0.365 367.7264422 47.71841717 283.4122766 283.4122766 932.434114 1138.205094 0.1049240597 205.7703456 420.4468015 2.90299194 -1272.504459
0.37 373.4303609 49.61504485 279.8470148 279.8470148 936.1893613 1143.365962 0.1056418524 207.17597 422.2450181 2.87983307 -1278.307571
0.375 379.1601355 51.54500739 276.3755905 276.3755905 939.9842861 1148.547048 0.1063395253 208.5621357 424.0282026 2.856826685 -1284.1376
0.38 384.9158612 53.5076298 272.9950991 272.9950991 943.8162178 1153.746029 0.1070174203 209.9291892 425.7967394 2.834003199 -1289.990999
0.385 390.6976219 55.50224038 269.7026987 269.7026987 947.6825776 1158.960681 0.1076759022 211.2774857 427.5509942 2.811389548 -1295.86431
0.39 396.5054906 57.52817251 266.4956137 266.4956137 951.5808791 1164.18888 0.1083153555 212.6073866 429.2913146 2.789009434 -1301.754182
0.395 402.3395299 59.5847662 263.3711369 263.3711369 955.5087294 1169.428598 0.1089361805 213.919258 431.0180313 2.766883545 -1307.65738
0.4 408.1997925 61.67136949 260.3266313 260.3266313 959.4638295 1174.677905 0.1095387905 215.213469 432.7314592 2.745029792 -1313.570793
0.405 414.0863219 63.78733967 257.3595316 257.3595316 963.4439735 1179.934967 0.110123609 216.4903902 434.4318987 2.723463518 -1319.49144
0.41 419.9991522 65.93204423 254.4673451 254.4673451 967.4470481 1185.19804 0.1106910665 217.7503925 436.1196359 2.702197719 -1325.416478
0.415 425.9383095 68.10486179 251.647652 251.647652 971.4710313 1190.465473 0.1112415988 218.9938455 437.7949445 2.681243237 -1331.343198
0.42 431.9038116 70.30518275 248.8981053 248.8981053 975.5139909 1195.735701 0.1117756445 220.2211171 439.4580857 2.660608956 -1337.269034
0.425 437.8956687 72.5324099 246.2164308 246.2164308 979.5740823 1201.007244 0.1122936432 221.4325719 441.1093095 2.640301981 -1343.191558
0.43 443.9138839 74.78595889 243.6004262 243.6004262 983.6495469 1206.278704 0.1127960336 222.6285708 442.7488553 2.620327809 -1349.108482
0.435 449.9584534 77.06525854 241.0479607 241.0479607 987.7387097 1211.548763 0.1132832523 223.8094701 444.3769526 2.600690483 -1355.017654
0.44 456.0293671 79.36975114 238.5569736 238.5569736 991.8399766 1216.816178 0.1137557323 224.975621 445.9938214 2.581392743 -1360.917057
0.445 462.1266088 81.69889257 236.1254731 236.1254731 995.951832 1222.079778 0.1142139017 226.1273691 447.5996731 2.562436161 -1366.804805
0.45 468.2501567 84.05215245 233.7515351 233.7515351 1000.072837 1227.338465 0.1146581831 227.2650538 449.194711 2.543821267 -1372.679137
0.455 474.3999836 86.42901412 231.4333017 231.4333017 1004.201624 1232.591204 0.1150889924 228.3890082 450.7791306 2.525547666 -1378.538419
0.46 480.5760572 88.82897461 229.1689795 229.1689795 1008.336898 1237.837026 0.1155067384 229.4995585 452.3531203 2.507614142 -1384.381133
0.465 486.7783408 91.25154461 226.956838 226.956838 1012.477432 1243.075022 0.1159118218 230.5970242 453.9168616 2.490018757 -1390.205875
0.47 493.006793 93.69624826 224.7952079 224.7952079 1016.622062 1248.304343 0.1163046351 231.6817175 455.4705296 2.472758941 -1396.011351
0.475 499.2613684 96.16262307 222.6824793 222.6824793 1020.769688 1253.524193 0.1166855618 232.7539432 457.0142936 2.45583157 -1401.796371
0.48 505.5420179 98.65021967 220.6170999 220.6170999 1024.919271 1258.733828 0.1170549767 233.8139993 458.548317 2.439233044 -1407.559843
