# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
1.393141641e-09 1.296271606e-06 4.506853562e-11 0 0 0 0 0 0 0 0 0
1.774037108e-09 1.650697545e-06 6.486055592e-11 0 0 0 0 0 0 0 0 0
2.259072278e-09 2.102033785e-06 9.372353711e-11 0 0 0 0 0 0 0 0 0
2.876719734e-09 2.676778137e-06 1.349376327e-10 0 0 0 0 0 0 0 0 0
3.663236677e-09 3.408675375e-06 1.93610726e-10 0 0 0 0 0 0 0 0 0
4.664793305e-09 4.340697921e-06 2.768651951e-10 0 0 0 0 0 0 0 0 0
5.940183094e-09 5.527569523e-06 3.94630681e-10 0 0 0 0 0 0 0 0 0
7.564274102e-09 7.038978965e-06 5.607233324e-10 0 0 0 0 0 0 0 0 0
9.632403881e-09 8.963672947e-06 7.943328843e-10 0 0 0 0 0 0 0 0 0
1.226597599e-08 1.141466834e-05 1.122071244e-09 0 0 0 0 0 0 0 0 0
1.561958665e-08 1.453589023e-05 1.58079304e-09 0 0 0 0 0 0 0 0 0
1.989009983e-08 1.851062574e-05 2.221476881e-09 0 0 0 0 0 0 0 0 0
2.532820364e-08 2.357229044e-05 3.114563241e-09 0 0 0 0 0 0 0 0 0
3.227437722e-08 3.003792136e-05 4.361268293e-09 0 0 0 0 0 0 0 0 0
4.129979439e-08 3.843936628e-05 6.130418733e-09 0 0 0 0 0 0 0 0 0
5.25914707e-08 4.895095643e-05 8.543516976e-09 0 0 0 0 0 0 0 0 0
6.953003727e-08 6.472031545e-05 1.250981068e-08 0 0 0 0 0 0 0 0 0
1.001849953e-07 9.326176273e-05 2.054008909e-08 0 0 0 0 0 0 0 0 0
1.275763312e-07 0.0001187668341 2.846870267e-08 0 0 0 0 0 0 0 0 0
1.624566655e-07 0.0001512477261 3.9409549e-08 0 0 0 0 0 0 0 0 0
2.068735472e-07 0.0001926126448 5.449334723e-08 0 0 0 0 0 0 0 0 0
2.634343404e-07 0.0002452918752 7.527104236e-08 0 0 0 0 0 0 0 0 0
3.354592825e-07 0.0003123643591 1.039337722e-07 0 0 0 0 0 0 0 0 0
4.26806532e-07 0.0003974558884 1.431180645e-07 0 0 0 0 0 0 0 0 0
5.429829627e-07 0.0005056886928 1.968785267e-07 0 0 0 0 0 0 0 0 0
6.907193824e-07 0.0006433406441 2.705685654e-07 0 0 0 0 0 0 0 0 0
8.785639482e-07 0.0008183863669 3.714799914e-07 0 0 0 0 0 0 0 0 0
1.117369913e-06 0.001040953234 5.095324643e-07 0 0 0 0 0 0 0 0 0
1.420913078e-06 0.001323898842 6.98202324e-07 0 0 0 0 0 0 0 0 0
1.806672961e-06 0.001683541903 9.557711574e-07 0 0 0 0 0 0 0 0 0
2.296820421e-06 0.002140586692 1.307000112e-06 0 0 0 0 0 0 0 0 0
2.919465344e-06 0.002721291461 1.785369219e-06 0 0 0 0 0 0 0 0 0
3.710231608e-06 0.003458944045 2.43606379e-06 0 0 0 0 0 0 0 0 0
4.71424335e-06 0.004395723763 3.319944704e-06 0 0 0 0 0 0 0 0 0
5.988627513e-06 0.00558504854 4.518808819e-06 0 0 0 0 0 0 0 0 0
7.605663545e-06 0.007094530646 6.142333183e-06 0 0 0 0 0 0 0 0 0
9.6567431e-06 0.009009694749 8.337205748e-06 0 0 0 0 0 0 0 0 0
1.225734211e-05 0.01143864944 1.129908014e-05 0 0 0 0 0 0 0 0 0
1.555325623e-05 0.01451794953 1.528815734e-05 0 0 0 0 0 0 0 0 0
1.972841056e-05 0.01841994329 2.064939781e-05 0 0 0 0 0 0 0 0 0
2.501462847e-05 0.02336196911 2.783860983e-05 0 0 0 0 0 0 0 0 0
3.170383517e-05 0.02961785244 3.745594998e-05 0 0 0 0 0 0 0 0 0
4.016328427e-05 0.03753226106 5.028871818e-05 0 0 0 0 0 0 0 0 0
5.085453462e-05 0.04753860915 6.736574344e-05 0 0 0 0 0 0 0 0 0
6.435707705e-05 0.06018136512 9.002614937e-05 0 0 0 0 0 0 0 0 0
8.139772519e-05 0.07614382243 0.0001200058766 0 0 0 0 0 0 0 0 0
0.0001028871494 0.09628264589 0.0001595460347 0 0 0 0 0 0 0 0 0
0.0001299652616 0.121670819 0.0002115279649 0 0 0 0 0 0 0 0 0
0.0001640575587 0.1536510016 0.0002796407948 0 0 0 0 0 0 0 0 0
0.0002069450197 0.1939017712 0.000368588194 0 0 0 0 0 0 0 0 0
0.0002565931916 0.2405197189 0.0004478059308 0 0 0 0 0 0 0 0 0
0.0003129007715 0.2934028419 0.0004903766341 0 0 0 0 0 0 0 0 0
0.0003815646557 0.3579006189 0.0005387471407 0 0 0 0 0 0 0 0 0
0.0004652963486 0.4365637271 0.0005986380478 0 0 0 0 0 0 0 0 0
0.0005674023755 0.5325037246 0.0006753294429 0 0 0 0 0 0 0 0 0
0.0006919148554 0.649516247 0.0007752840175 0 0 0 0 0 0 0 0 0
0.0008437507273 0.7922314688 0.0009069288396 0 0 0 0 0 0 0 0 0
0.001028905919 0.9662977505 0.001081458454 0 0 0 0 0 0 0 0 0
0.001254692121 1.178605782 0.001313840643 0 0 0 0 0 0 0 0 0
0.001530025525 1.437562164 0.001624144812 0 0 0 0 0 0 0 0 0
0.001865778917 1.753423366 0.002039331306 0 0 0 0 0 0 0 0 0
0.00227521104 2.138703419 0.002595690984 0 0 0 0 0 0 0 0 0
0.002774490178 2.608671714 0.003342205984 0 0 0 0 0 0 0 0 0
0.003383332628 3.181960888 0.004345222829 0 0 0 0 0 0 0 0 0
0.004125781292 3.88130934 0.005694993425 0 0 0 0 0 0 0 0 0
0.005031155118 4.734468365 0.007514838116 0 0 0 0 0 0 0 0 0
0.006135206893 5.775310736 0.009973852567 0 0 0 0 0 0 0 0 0
0.007481535103 7.045185795 0.01330406114 0 0 0 0 0 0 0 0 0
0.009123305615 8.594577208 0.01782311619 0 0 0 0 0 0 0 0 0
0.01112535117 10.48512334 0.02395554171 0 0 0 0 0 0 0 0 0
0.01356673162 12.79210297 0.03226390978 0 0 0 0 0 0 0 0 0
0.01654385591 15.60744766 0.04345126562 0 0 0 0 0 0 0 0 0
0.02017428929 19.04343234 0.05834537453 0 0 0 0 0 0 0 0 0
0.02460139587 23.23715921 0.07782995572 0 0 0 0 0 0 0 0 0
0.03 28.356006 0.1027199992 0 0 0 0 0 0 0 0 0
0.03536901021 33.45130774 0.1279046129 0 0 0 0 0 0 0 0 0
0.04049914337 38.32349788 0.1518121779 0 0 0 0 0 0 0 0 0
0.04550056531 43.07634806 0.1746312404 0 0 0 0 0 0 0 0 0
0.05043447529 47.76747146 0.1964697042 0 0 0 0 0 0 0 0 0
0.05533317057 52.42719491 0.217387443 0 0 0 0 0 0 0 0 0
0.06020835973 57.06636635 0.2374172837 0 0 0 0 0 0 0 0 0
0.06505394346 61.67894501 0.256579108 0 0 0 0 0 0 0 0 0
0.06984563279 66.24160223 0.2748888414 0 0 0 0 0 0 0 0 0
0.07453889163 70.71173659 0.2923615555 0 0 0 0 0 0 0 0 0
0.07906755233 75.02613458 0.3090045838 0 0 0 0 0 0 0 0 0
0.08334714709 79.10412831 0.3247899536 0 0 0 0 0 0 0 0 0
0.08728493604 82.85714069 0.3395734085 0 0 0 0 0 0 0 0 0
0.09077943227 86.18822488 0.3527921775 0 0 0 0 0 0 0 0 0
0.1 94.98085994 0.4316900828 682.7677496 682.7677496 852.7695954 954.1255002 0.04576676294 101.3546167 278.9619585 3.363431882 -1025.552402
0.105 99.75336652 0.510555831 672.3524147 672.3524147 851.4063077 954.8944986 0.04639666787 103.4869293 283.4735157 3.581042517 -1037.873991
0.11 104.5299795 0.6045242442 662.1250247 662.1250247 850.2254071 955.7682161 0.04697833041 105.5415719 287.8449562 3.737417808 -1049.970338
0.115 109.3112238 0.7146814106 652.0823068 652.0823068 849.2139586 956.7470022 0.0475261739 107.5318295 292.0857932 3.842410885 -1061.748187
0.12 114.0976238 0.8420116669 642.221186 642.221186 848.3598139 957.8302952 0.04805241637 109.4692887 296.2044401 3.906573563 -1073.137762
