# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.005 4.703389045 0.00305187009 923.7095263 923.7095263 932.8255494 941.2881829 0.0005298910945 8.447191606 104.3694533 1.017044395 nan
0.01 9.410934357 0.005805489785 908.8175683 908.8175683 927.0935363 941.6739847 0.001359977062 14.57149119 131.4608571 0.9299299747 nan
0.015 14.11992507 0.008907415568 894.2693454 894.2693454 921.7437996 941.9221656 0.00240529528 20.17189457 150.4325908 1.368408767 nan
0.02 18.8302524 0.01424385853 880.0255582 880.0255582 916.7366793 942.2248129 0.003636987436 25.48301065 165.5043201 2.088661574 nan
0.025 23.54236851 0.02371898087 866.0541708 866.0541708 912.0407269 942.6434995 0.005037096204 30.59850597 178.2005757 2.683455978 nan
0.03 28.25691839 0.03909082583 852.3281595 852.3281595 907.6298514 943.2003072 0.006592227271 35.56678522 189.2676572 3.035992097 nan
0.035 32.97461277 0.06194370388 838.8243145 838.8243145 903.4819209 943.9016137 0.008291372761 40.41646249 199.1334336 3.212108047 nan
0.04 37.69617441 0.09369532377 825.5224639 825.5224639 899.5779024 944.7467432 0.01012495385 45.16595021 208.0687826 3.288297353 -2470.330297
0.045 42.42231336 0.1356138521 812.4049219 812.4049219 895.9012695 945.7317157 0.01208433883 49.82782603 216.2573773 3.312357191 -1815.334486
0.05 47.15371553 0.1888371961 799.4560766 799.4560766 892.4375723 946.8510546 0.01416157943 54.41108289 223.8302183 3.310111693 -1605.872902
0.055 51.89103778 0.2543919051 786.6620742 786.6620742 889.1741119 948.0987216 0.01634925812 58.92239398 230.8844449 3.29507083 -1476.94432
0.06 56.63490646 0.3332108573 774.0105699 774.0105699 886.0996903 949.468622 0.01864039594 63.36687132 237.4943485 3.27432794 -1385.076656
0.065 61.38591792 0.426149568 761.4905311 761.4905311 883.2044138 950.9548844 0.02102839476 67.74854351 243.7181957 3.251656159 -1314.871557
0.07 66.14464006 0.5340012077 749.0920793 749.0920793 880.4795383 952.5520182 0.0235069995 72.07066837 249.6026519 3.229086362 -1258.997186
0.075 70.91161449 0.6575105122 736.8063624 736.8063624 877.917346 954.255 0.02607027198 76.33594368 255.1857578 3.207717707 -1213.360147
0.08 75.68735893 0.7973867875 724.6254523 724.6254523 875.5110481 956.0593215 0.02871257148 80.54665247 260.4989968 3.188142639 -1175.429367
0.085 80.47236995 0.9543162126 712.5422617 712.5422617 873.2547074 957.9610137 0.03142853875 84.70476501 265.5687698 3.170675003 -1143.523579
0.09 85.26712563 1.128973622 700.5504781 700.5504781 871.1431771 959.9566583 0.03421308164 88.81201113 270.4174707 3.155475206 -1116.465158
0.095 90.07208832 1.322033941 688.6445116 688.6445116 869.1720544 962.0433922 0.03706136119 92.86993197 275.0642886 3.142620117 -1093.394937
0.1 94.88770749 1.534183413 676.8194541 676.8194541 867.3376444 964.218909 0.03996877733 96.87991699 279.5258153 3.132142573 -1073.665604
0.105 99.71442244 1.766130758 665.0710493 665.0710493 865.636934 966.481459 0.04293095374 100.8432303 283.8165131 3.12405374 -1056.776672
0.11 104.5526651 2.018618371 653.3956714 653.3956714 864.0675745 968.8298499 0.04594372171 104.7610292 287.9490809 3.118355583 -1042.332875
0.115 109.4028629 2.292433642 641.790311 641.790311 862.6278699 971.2634483 0.04900310272 108.6343767 291.9347434 3.115047486 -1030.016501
0.12 114.2654415 2.588420478 630.2525692 630.2525692 861.3167721 973.7821828 0.05210528976 112.4642498 295.7834831 3.114129315 -1019.568359
0.125 119.1408274 2.907491063 618.7806565 618.7806565 860.1338803 976.386548 0.05524662744 116.2515446 299.5042285 3.11560224 -1010.774323
0.13 124.0294514 3.250637889 607.3733976 607.3733976 859.0794442 979.0776099 0.05842359083 119.9970777 303.1050071 3.119468086 -1003.455575
0.135 128.9317507 3.618946016 596.0302412 596.0302412 858.1543701 981.857013 0.06163276325 123.7015875 306.593073 3.125727667 -997.4613803
