# nB[fm-3], eps[MeVfm-3], p[MeVfm-3]
1.710478518e-09 1.592702077e-06 6.27248502e-11
1.925286072e-09 1.792727498e-06 7.514177816e-11
2.167064453e-09 2.017869427e-06 8.994221681e-11
2.439199113e-09 2.271280881e-06 1.075687761e-10
2.745500286e-09 2.556510573e-06 1.285435884e-10
3.090256265e-09 2.877552502e-06 1.534821898e-10
3.478293348e-09 3.238901861e-06 1.831097766e-10
3.9150433e-09 3.645617846e-06 2.182802377e-10
4.406619258e-09 4.103394431e-06 2.599984334e-10
4.959901159e-09 4.618639926e-06 3.094462705e-10
5.582631857e-09 5.198566596e-06 3.68013213e-10
6.283525286e-09 5.851291387e-06 4.373319788e-10
7.072388156e-09 6.585949422e-06 5.19320297e-10
7.960256905e-09 7.412821558e-06 6.162297469e-10
8.959551775e-09 8.343478063e-06 7.307028715e-10
1.008425019e-08 9.390940147e-06 8.658399572e-10
1.135008181e-08 1.056986182e-05 1.025277104e-09
1.277474804e-08 1.189673451e-05 1.213277482e-09
1.437816892e-08 1.339011716e-05 1.434837987e-09
1.618276096e-08 1.507089534e-05 1.695813868e-09
1.821374972e-08 1.696257258e-05 2.003064351e-09
2.049952141e-08 1.909159825e-05 2.36462274e-09
2.30720185e-08 2.148773639e-05 2.789895114e-09
2.596718473e-08 2.418448077e-05 3.289892359e-09
2.922546576e-08 2.721952164e-05 3.877501114e-09
3.289237228e-08 3.063527103e-05 4.56780007e-09
3.701911353e-08 3.447945352e-05 5.378429191e-09
4.166330979e-08 3.880577092e-05 6.330020601e-09
4.68897939e-08 4.367464987e-05 7.446701375e-09
5.27715127e-08 4.915408284e-05 8.756680108e-09
5.93905409e-08 5.532057408e-05 1.029293111e-08
6.683922136e-08 6.226020351e-05 1.209399229e-08
7.522144746e-08 7.006982346e-05 1.420489552e-08
8.465410526e-08 7.885840447e-05 1.667825108e-08
9.526869517e-08 8.874854889e-05 1.957551168e-08
1.072131555e-07 9.987819301e-05 2.296844521e-08
1.20653913e-07 0.0001124025212 2.694085054e-08
1.357781878e-07 0.0001264961183 3.15905558e-08
1.527965862e-07 0.0001423553897 3.703174521e-08
1.719460135e-07 0.0001602012824 4.339766773e-08
1.934929504e-07 0.0001802823444 5.084378941e-08
2.177371347e-07 0.0002028781639 5.955146098e-08
2.450157e-07 0.0002283032355 6.97321839e-08
2.75707827e-07 0.000256911306 8.163257069e-08
3.102399712e-07 0.0002891002594 9.554011123e-08
3.490917367e-07 0.0003253176063 1.117898732e-07
3.928024768e-07 0.0003660666537 1.307722862e-07
4.419787098e-07 0.0004119134375 1.529421801e-07
4.9730245e-07 0.0004634945123 1.788292783e-07
5.595405661e-07 0.0005215257023 2.090503728e-07
6.295552921e-07 0.0005868119331 2.443234461e-07
7.083160323e-07 0.0006602582741 2.854840454e-07
7.969126165e-07 0.0007428823414 3.335042576e-07
8.965701833e-07 0.000835828225 3.895146899e-07
1.008665888e-06 0.0009403821282 4.548299198e-07
1.134747658e-06 0.001057989924 5.309779454e-07
1.276555237e-06 0.001190276865 6.197342496e-07
1.436043808e-06 0.0013390697 7.231611762e-07
1.615410488e-06 0.001506421499 8.436534226e-07
1.817124048e-06 0.001694639503 9.839905654e-07
2.043958254e-06 0.00190631636 1.147397668e-06
2.299029237e-06 0.002144365169 1.337615168e-06
2.5858374e-06 0.00241205876 1.558979408e-06
2.908314376e-06 0.002713073748 1.816515361e-06
3.270875653e-06 0.00305153989 2.116043316e-06
3.678479523e-06 0.003432095409 2.464301537e-06
4.136693103e-06 0.003859948953 2.869087136e-06
4.651766254e-06 0.004340949002 3.339417765e-06
5.230714314e-06 0.004881661564 3.885716992e-06
5.881410677e-06 0.005489457145 4.520026647e-06
6.612690346e-06 0.006172608055 5.256249788e-06
7.434465725e-06 0.00694039725 6.110428439e-06
8.357856041e-06 0.007803240028 7.101060672e-06
9.395331961e-06 0.008772820046 8.249462209e-06
1.05608771e-05 0.009862241285 9.580178276e-06
1.187016833e-05 0.01108619775 1.112145207e-05
1.334077697e-05 0.01246116292 1.290575688e-05
1.499239323e-05 0.01400560107 1.497039971e-05
1.684707633e-05 0.01574020301 1.735820487e-05
1.892953325e-05 0.01768814877 2.0118287e-05
2.126742911e-05 0.01987540023 2.330692381e-05
2.389173262e-05 0.022331027 2.698853956e-05
2.683710029e-05 0.02508756888 3.123681152e-05
3.014230347e-05 0.02818143901 3.613591231e-05
3.385070281e-05 0.03165337188 4.178190211e-05
3.801077481e-05 0.03554892071 4.828428568e-05
4.267669601e-05 0.03991900959 5.576774984e-05
4.790899044e-05 0.04482054553 6.437409817e-05
5.37752468e-05 0.05031709676 7.426440005e-05
6.035091209e-05 0.05647964367 8.562137224e-05
6.772016917e-05 0.06338740944 9.865201114e-05
7.59769063e-05 0.07112877811 0.0001135904944
8.522578721e-05 0.07980230833 0.0001307013705
9.558343113e-05 0.08951785164 0.0001502830538
0.0001071797126 0.1003977848 0.0001726716425
0.0001201591915 0.1125783662 0.0001982450746
0.0001346826854 0.1262112276 0.0002274276341
0.0001509289941 0.1414650115 0.0002606948175
0.0001690967916 0.1585271672 0.0002985785626
0.0001894066946 0.1776059167 0.0003416728383
0.0002100330752 0.1969855452 0.0003613281799
0.0002329056676 0.2184774935 0.0003777894091
0.0002582690844 0.2423117222 0.000394749929
0.0002863945761 0.2687434127 0.0004131031105
0.0003175829326 0.2980556132 0.0004334445536
0.0003521676997 0.3305622566 0.0004563123603
0.0003905187464 0.3666115219 0.0004822615291
0.0004330462204 0.406589568 0.0005119001283
0.0004802049343 0.4509246767 0.0005459138755
0.0005324992301 0.5000918494 0.0005850872831
0.0005904883724 0.5546179066 0.0006303245874
0.0006547925297 0.6150871456 0.0006826720416
0.0007260994068 0.6821476161 0.000743342537
0.0008051715997 0.7565180829 0.0008137432722
0.0008928547508 0.838995749 0.0008955070987
0.0009900865931 0.9304648242 0.0009905281511
0.001097906979 1.031906031 0.001101002379
0.001217468999 1.144407149 0.001229473639
0.001350051319 1.269174717 0.001378886031
0.001497071847 1.407547008 0.001552643313
0.001660102904 1.561008432 0.001754675734
0.001840888036 1.731205511 0.001989516211
0.00204136066 1.919964603 0.002262385388
0.002263664745 2.129311564 0.002579287536
0.002510177734 2.36149357 0.00294711796
0.002783535976 2.619003314 0.003373783088
0.003086662919 2.904605866 0.00386833447
0.003422800373 3.221368466 0.004441118044
0.00379554318 3.572693579 0.005103940221
0.004208877662 3.962355571 0.005870252627
0.004667224251 4.394541396 0.00675535777
0.005175484762 4.873895746 0.0077766385
0.005739094821 5.405571132 0.008953815136
0.006364081989 5.99528346 0.01030923547
0.007057130232 6.649373689 0.01186820501
0.007825651398 7.374876234 0.01365936772
0.008677864484 8.17959488 0.01571515218
0.009622883538 9.072186997 0.01807230409
0.01067081512 10.062257 0.02077253562
0.01183286641 11.16046009 0.0238633346
0.01312146503 12.3786173 0.02739899554
0.01455039199 13.72984336 0.03144196003
0.01613492902 15.22868846 0.0360645909
0.01789202207 16.89129585 0.04135155489
0.01984046247 18.73557677 0.04740305919
0.02200108794 20.78140497 0.05433928321
0.02439700543 23.05083282 0.06230647773
0.02705383823 25.5683319 0.07148538033
0.03 28.36106078 0.08210283232
0.03287006705 31.08268462 0.09291448418
0.03566271093 33.73181723 0.1039074657
0.03837686098 36.30733375 0.115069273
0.04101194856 38.80859867 0.1263874282
0.04356797137 41.2355246 0.1378492927
0.04604545053 43.58852986 0.1494419271
0.04844533068 45.86844255 0.1611519409
0.05076885637 48.07638211 0.1729653004
0.05301744496 50.21363788 0.1848670791
0.05519256744 52.28155506 0.1968411464
0.05729564233 54.28143319 0.2088697937
0.05932794446 56.21443883 0.2209333054
0.06129052816 58.08153189 0.233009481
0.06318416326 59.88340418 0.2450731188
0.06500928103 61.6204274 0.2570954622
0.06676592584 63.29260673 0.2690436016
0.06845370646 64.89953386 0.2808797986
0.07007173655 66.44032993 0.2925606577
0.07161854712 67.91356175 0.30403599
0.07309194053 69.31710222 0.3152470637
0.07448872799 70.64787975 0.3261236385
0.07580423417 71.90140572 0.3365785366
0.07703131326 73.07083589 0.3464970046
0.07815825552 74.14497383 0.3557142127
0.07815825552 74.14510287 0.3475266037
0.07933517973 75.26691533 0.359068198
0.08056430268 76.43866763 0.3714739843
0.08184793947 77.66259435 0.3848224313
0.08318850789 78.94103139 0.3992002499
0.08458853297 80.27642074 0.4147033435
0.08605065172 81.67131549 0.4314378719
0.08757761811 83.12838511 0.449521446
0.08917230824 84.65042096 0.469084468
0.09083772579 86.24034217 0.4902716354
0.09257700765 87.90120175 0.5132436301
0.09439342983 89.63619315 0.5381790151
0.09629041366 91.44865705 0.5652763649
0.09827153217 93.34208862 0.5947566593
0.1003405169 95.32014519 0.6268659729
0.1025012649 97.38665432 0.6618784985
0.104757846 99.54562237 0.7000999456
0.1071145106 101.8012436 0.741871361
0.1095756976 104.1579099 0.7875734252
0.1121460427 106.6202207 0.8376312838
0.1148303873 109.1929944 0.8925199819
0.1176337875 111.8812795 0.9527705762
0.1205615236 114.6903671 1.018977011
0.1236191101 117.6257983 1.091088955
0.1268123062 120.6933632 1.169631197
0.1301471264 123.8991433 1.255787701
0.1336298519 127.249524 1.350578952
0.1372670427 130.7512096 1.455092342
0.1410655495 134.4112412 1.570523562
0.145032527 138.2370162 1.698201354
0.1491754472 142.2363102 1.839609204
0.1535021135 146.4172997 1.99640735
0.1580206754 150.7885875 2.170456406
0.1627396437 155.3592296 2.363843351
0.1676679068 160.1387651 2.578910441
0.1728147475 165.137248 2.818287509
0.1781898599 170.3652824 3.084928189
0.1838033683 175.83406 3.382150581
0.1896658461 181.5554023 3.713682937
0.1957883355 187.5418052 4.083715033
0.2021823685 193.8064892 4.496955937
0.2088599885 200.3634537 4.958699001
0.2158337731 207.2275362 5.474894966
0.2231168578 214.4144786 6.052234243
0.2307229606 221.9409986 6.698239481
0.238666408 229.8248699 7.421369759
0.2469621617 238.0850094 8.231137847
0.2556258473 246.741574 9.138242182
0.2646737831 255.8160682 10.15471542
0.2741230114 265.3314619 11.29409163
0.2839913303 275.3123223 12.57159454
0.2942973271 285.7849594 14.00434935
0.3050604136 296.7775875 15.61162123
0.3163008627 308.3205051 17.41508372
0.3280398462 320.446295 19.43912083
0.3402994751 333.1900463 21.71116703
0.3531028409 346.5896029 24.26208985
0.3664740593 360.6858393 27.12662035
0.3804383157 375.5229692 30.34383737
0.3950219123 391.1488896 33.95771213
0.4102523181 407.6155649 38.0177206
0.4261582201 424.9794567 42.57953174
0.442769578 443.3020036 47.70578072
0.4601176799 462.6501582 53.46693719
0.4782352017 483.096988 59.94227979
0.4971562688 504.7223472 67.22098897
0.5169165197 527.6136292 75.40337165
0.5375531738 551.8666088 84.6022324
0.5591051011 577.5863846 94.94440685
0.5816128958 604.8884347 106.5724746
0.6051189523 633.8997971 119.64667
0.6296675453 664.7603919 134.34701
0.6553049132 697.6244996 150.8756597
0.6820793451 732.6624142 169.4595566
0.710041272 770.0622913 190.3533155
0.7392433614 810.0322112 213.8424346
0.7697406167 852.8024825 240.2468252
0.801590481 898.6282098 269.9246841
0.8348529449 947.7921541 303.276728
0.8695906598 1000.607914 340.7508056
0.9058690558 1057.423463 382.846904
0.9437564648 1118.62507 430.1225602
0.9833242496 1184.641641 483.198694
1.024646938 1255.949532 542.7658784
1.067802363 1333.077848 609.5910757
1.11287181 1416.614295 684.5248862
1.159940169 1507.211629 768.5093878
1.209096095 1605.594743 862.5866957
1.260432177 1712.568482 967.9084405
1.314045108 1829.02623 1085.746454
1.37003587 1955.959406 1217.505058
1.428509924 2094.467948 1364.735467
1.48957741 2245.771964 1529.152907
1.55335335 2411.224724 1712.65713
1.619957869 2592.327211 1917.356969
1.68951642 2790.744498 2145.599545
1.76216002 3008.324242 2400.004529
1.838025497 3247.117624 2683.503704
1.917255745 3509.403062 2999.385832
2 3797.713077 3351.346732
