# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.005 4.699318627 0.003866173322 923.3863824 923.3863824 932.019894 940.63696 0.0005595423287 8.601901274 104.3684212 1.171146765 nan
0.01 9.404230867 0.008324289365 909.0671509 909.0671509 926.3762242 941.2555156 0.001445431622 14.87051425 131.4571072 1.096064804 nan
0.015 14.11152668 0.01322718996 895.0185511 895.0185511 921.0354134 941.6502582 0.002564886466 20.60851057 150.4245685 1.303109356 nan
0.02 18.82072198 0.01997005552 881.2264615 881.2264615 915.9786887 942.0346019 0.003885598174 26.05090195 165.4905535 1.717506845 nan
0.025 23.53198775 0.03018003807 867.6797355 867.6797355 911.1912466 942.4867115 0.005387038767 31.29129283 178.1796814 2.176338075 nan
0.03 28.24576157 0.04549046239 854.3688894 854.3688894 906.6603288 943.0417343 0.007053557706 36.37781666 189.2383546 2.558616033 nan
0.035 32.96260494 0.06746813467 841.2855824 841.2855824 902.3745062 943.7163735 0.008872015183 41.33870909 199.094562 2.831038673 nan
0.04 37.6831374 0.09758696905 828.422347 828.422347 898.3233331 944.5181091 0.01083074865 46.19194965 208.0193189 3.009226547 -2040.012485
0.045 42.40800207 0.1372198683 815.7724275 815.7724275 894.4971545 945.4493764 0.01291906048 50.94965943 216.1964525 3.11979443 -1687.739066
0.05 47.13784636 0.1876389197 803.3296712 803.3296712 890.8869875 946.5097055 0.01512694479 55.6203707 223.7571338 3.185259766 -1518.337059
0.055 51.87331065 0.2500197013 791.0884494 791.0884494 887.4844424 947.6969154 0.01744493571 60.21030464 230.7986865 3.221487992 -1407.434872
0.06 56.6150217 0.325447689 779.0435974 779.0435974 884.2816678 949.0078232 0.01986402122 64.72413831 237.3955995 3.238941407 -1326.452857
0.065 61.36358882 0.4149257096 767.1903669 767.1903669 881.2713094 950.438685 0.02237559383 69.16548806 243.6063479 3.244372328 -1263.873692
0.07 66.11960178 0.519381845 755.5243858 755.5243858 878.4464791 951.9854804 0.02497142215 73.53722588 249.4778151 3.242130251 -1213.845396
0.075 70.88362999 0.6396774309 744.0416254 744.0416254 875.8007291 953.644099 0.02764363423 77.8416926 255.048268 3.235035827 -1172.964879
0.08 75.65622235 0.7766149261 732.7383712 732.7383712 873.3280305 955.4104659 0.03038470715 82.08084479 260.3494222 3.224936738 -1139.06707
0.085 80.43790763 0.9309455033 721.6111977 721.6111977 871.0227535 957.2806251 0.03318745988 86.25635794 265.4079151 3.213056092 -1110.682913
